Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 08/31/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.49,1,,,,-0.49,
 08/31/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.49,
 08/31/2020, DISTRIBUTION APPLE INC COM USD0.00001 (AAPL) (Cash), AAPL, APPLE INC COM USD0.00001,Cash,2100,,,,,,
 08/27/2020, DISTRIBUTION SPINOFF FROM:(SPWR ) MAXEON SOLAR TECHNOLOGIES LIMITED (MAXN) (Cash), MAXN, MAXEON SOLAR TECHNOLOGIES LIMITED,Cash,25,,,,,,
 08/13/2020, DIVIDEND RECEIVED APPLE INC COM USD0.00001 (AAPL) (Cash), AAPL, APPLE INC COM USD0.00001,Cash,,,,,,574,
 08/11/2020, YOU BOUGHT GLOBAL X FDS CANNABIS ETF (POTX) (Cash), POTX, GLOBAL X FDS CANNABIS ETF,Cash,500,10,,,,-5000,08/13/2020
 08/07/2020, YOU BOUGHT VIRGIN GALACTIC HOLDINGS INC COM (SPCE) (Cash), SPCE, VIRGIN GALACTIC HOLDINGS INC COM,Cash,200,18.5,,,,-3700,08/11/2020
 07/31/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.53,1,,,,-0.53,
 07/31/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.53,
 09/30/2020, DIVIDEND RECEIVED INDIA FUND INC (IFN) (Cash), IFN, INDIA FUND INC,Cash,,,,,,920,
 09/30/2020, DIVIDEND RECEIVED HERZFELD CARIBBEAN BASIN FD IN COM (CUBA) (Cash), CUBA, HERZFELD CARIBBEAN BASIN FD IN COM,Cash,,,,,,465.75,
 09/30/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.42,1,,,,-0.42,
 09/30/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.42,
 09/22/2020, YOU BOUGHT COMPASS DIVERSIFIED SH BEN INT (CODI) (Cash), CODI, COMPASS DIVERSIFIED SH BEN INT,Cash,1000,17.5,,,,-17500,09/24/2020
 09/09/2020, YOU SOLD MAXEON SOLAR TECHNOLOGIES LIMITED (MAXN) (Cash), MAXN, MAXEON SOLAR TECHNOLOGIES LIMITED,Cash,-25,21.24,,0.02,,530.86,09/11/2020
