
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2017 - 03/31/2017,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/31/2017,FIMM MMKT INST,Dividends and Interest,"104.02","104.020"
03/29/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.868"
03/29/2017,FID JAPAN,CONTRIBUTION,"306.94","23.430"
03/29/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.378"
03/15/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.920"
03/15/2017,FID JAPAN,CONTRIBUTION,"306.94","23.794"
03/15/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.502"
03/01/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.838"
03/01/2017,FID JAPAN,CONTRIBUTION,"306.94","23.998"
03/01/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.616"
02/28/2017,FIMM MMKT INST,Dividends and Interest,"89.39","89.390"
02/15/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.000"
02/15/2017,FID JAPAN,CONTRIBUTION,"306.94","24.302"
02/15/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.730"
02/01/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.564"
02/01/2017,FID JAPAN,CONTRIBUTION,"306.94","24.418"
02/01/2017,FID CHINA REGION,CONTRIBUTION,"230.22","9.022"
01/31/2017,FIMM MMKT INST,Dividends and Interest,"92.69","92.690"
01/18/2017,FID SEL GOLD,CONTRIBUTION,"218.10","10.352"
01/18/2017,FID JAPAN,CONTRIBUTION,"290.80","23.604"
01/18/2017,FID CHINA REGION,CONTRIBUTION,"218.08","8.710"
01/11/2017,FIMM MMKT INST,CONTRIBUTION,"16,850.99","16,850.990"
01/04/2017,FID SEL GOLD,CONTRIBUTION,"218.10","10.888"
01/04/2017,FID JAPAN,CONTRIBUTION,"290.80","23.816"
01/04/2017,FID CHINA REGION,CONTRIBUTION,"218.08","9.034"
