
Plan name:,FIDELITY RET SAVINGS
Date Range,04/01/2016 - 06/30/2016,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
06/30/2016,FIMM MMKT INST,Dividends and Interest,"35.39","35.390"
06/22/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.474"
06/22/2016,FID CHINA REGION,CONTRIBUTION,"436.18","18.906"
06/08/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.406"
06/08/2016,FID CHINA REGION,CONTRIBUTION,"436.18","18.616"
05/31/2016,FIMM MMKT INST,Dividends and Interest,"33.76","33.760"
05/25/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.476"
05/25/2016,FID CHINA REGION,CONTRIBUTION,"436.18","19.428"
05/13/2016,FID FREEDOM K 2030,Dividends and Interest,"487.30","34.907"
05/11/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.550"
05/11/2016,FID CHINA REGION,CONTRIBUTION,"436.18","19.438"
04/29/2016,FIMM MMKT INST,Dividends and Interest,"33.27","33.270"
04/27/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.498"
04/27/2016,FID CHINA REGION,CONTRIBUTION,"436.18","18.672"
04/15/2016,FID SEL GOLD,Dividends and Interest,"539.73","26.188"
04/13/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.440"
04/13/2016,FID CHINA REGION,CONTRIBUTION,"436.18","18.212"
04/08/2016,FID SEL HTH CARE SVC,Dividends and Interest,"559.73","6.885"
04/08/2016,FID SEL HEALTHCARE,Dividends and Interest,"115.31","0.618"
04/08/2016,FID SEL ENERGY,Dividends and Interest,"88.15","2.388"
04/08/2016,FID SEL BIOTECH,Dividends and Interest,"2,430.10","13.795"
04/06/2016,FIMM MMKT INST,Exchanges,"-15,000.00","-15,000.000"
04/06/2016,FID SEL BIOTECH,Exchanges,"15,000.00","80.043"
