
Plan name:,FIDELITY RET SAVINGS
Date Range,04/01/2017 - 06/30/2017,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
06/30/2017,FIMM MMKT INST,Dividends and Interest,"116.75","116.750"
06/21/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.418"
06/21/2017,FID JAPAN,CONTRIBUTION,"306.94","22.018"
06/21/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.664"
06/07/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.802"
06/07/2017,FID JAPAN,CONTRIBUTION,"306.94","21.924"
06/07/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.716"
05/31/2017,FIMM MMKT INST,Dividends and Interest,"113.70","113.700"
05/24/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.230"
05/24/2017,FID JAPAN,CONTRIBUTION,"306.94","22.686"
05/24/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.844"
05/12/2017,FID FREEDOM K 2030,Dividends and Interest,"442.57","27.835"
05/10/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.710"
05/10/2017,FID JAPAN,CONTRIBUTION,"306.94","23.200"
05/10/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.030"
04/28/2017,FIMM MMKT INST,Dividends and Interest,"108.41","108.410"
04/26/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.436"
04/26/2017,FID JAPAN,CONTRIBUTION,"306.94","23.394"
04/26/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.098"
04/12/2017,FID SEL TECHNOLOGY,Dividends and Interest,"1,211.77","8.282"
04/12/2017,FID SEL GOLD,Dividends and Interest,"113.52","5.066"
04/12/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.272"
04/12/2017,FID JAPAN,CONTRIBUTION,"306.94","23.960"
04/12/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.284"
04/07/2017,FID SEL HTH CARE SVC,Dividends and Interest,"3,157.50","37.305"
04/07/2017,FID SEL FINANCIAL,Dividends and Interest,"697.52","7.132"
04/07/2017,FID SEL ENERGY,Dividends and Interest,"97.42","2.230"
04/07/2017,FID SEL CONSTR/HOUSE,Dividends and Interest,"985.21","16.180"
