
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2018 - 03/31/2018,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/29/2018,FIMM MMKT INST,Dividends and Interest,"287.02","287.020"
03/28/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.452"
03/28/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.874"
03/14/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.230"
03/14/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.246"
02/28/2018,FIMM MMKT INST,Dividends and Interest,"211.30","211.300"
02/28/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.172"
02/28/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.666"
02/14/2018,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","16.752"
02/14/2018,FID CHINA REGION,CONTRIBUTION,"469.62","12.624"
02/12/2018,FIMM MMKT INST,Exchanges,"56,365.22","56,365.220"
02/12/2018,FID VALUE K,Exchanges,"-56,365.22","-481.960"
02/12/2018,FID VALUE K,Change in Market Value,"25,182.29","0.000"
01/31/2018,FIMM MMKT INST,Dividends and Interest,"170.66","170.660"
01/31/2018,FID SEL GOLD,CONTRIBUTION,"234.82","11.208"
01/31/2018,FID JAPAN,CONTRIBUTION,"313.08","19.220"
01/31/2018,FID CHINA REGION,CONTRIBUTION,"234.80","6.030"
01/17/2018,FIMM MMKT INST,CONTRIBUTION,"18,080.14","18,080.140"
01/17/2018,FID SEL GOLD,CONTRIBUTION,"234.82","11.030"
01/17/2018,FID JAPAN,CONTRIBUTION,"313.08","19.032"
01/17/2018,FID CHINA REGION,CONTRIBUTION,"234.80","6.158"
01/03/2018,FID SEL GOLD,CONTRIBUTION,"230.20","11.004"
01/03/2018,FID JAPAN,CONTRIBUTION,"306.94","19.538"
01/03/2018,FID CHINA REGION,CONTRIBUTION,"230.22","6.168"
