
Plan name:,FIDELITY RET SAVINGS
Date Range,04/01/2019 - 06/30/2019,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
06/28/2019,FIMM MMKT INST,Dividends and Interest,"428.74","428.740"
06/19/2019,FID JAPAN SMALL CO,CONTRIBUTION,"167.72","10.221"
06/19/2019,FID CHINA REGION,CONTRIBUTION,"670.89","20.003"
06/05/2019,FID JAPAN SMALL CO,CONTRIBUTION,"167.72","10.359"
06/05/2019,FID CHINA REGION,CONTRIBUTION,"670.89","21.071"
05/31/2019,FIMM MMKT INST,Dividends and Interest,"433.36","433.360"
05/22/2019,FID JAPAN SMALL CO,CONTRIBUTION,"167.72","10.509"
05/22/2019,FID CHINA REGION,CONTRIBUTION,"670.89","20.739"
05/08/2019,FIMM MMKT INST,Exchanges,"33,420.38","33,420.380"
05/08/2019,FID SEL HEALTHCARE,Exchanges,"-33,420.38","-1,433.121"
05/08/2019,FID SEL HEALTHCARE,Change in Market Value,"3,062.18","0.000"
05/08/2019,FID JAPAN SMALL CO,CONTRIBUTION,"167.72","10.328"
05/08/2019,FID CHINA REGION,CONTRIBUTION,"670.89","19.228"
04/30/2019,FIMM MMKT INST,Dividends and Interest,"374.01","374.010"
04/24/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.686"
04/24/2019,FID CHINA REGION,CONTRIBUTION,"626.16","17.350"
04/10/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.556"
04/10/2019,FID CHINA REGION,CONTRIBUTION,"626.16","17.198"
04/05/2019,FID SEL ENERGY,Dividends and Interest,"80.69","2.059"
04/05/2019,FID SEL CONSTR/HOUSE,Dividends and Interest,"1,448.17","25.741"
04/05/2019,FID SEL BIOTECH,Dividends and Interest,"2,572.72","120.672"
04/02/2019,FID SEL BIOTECH,Exchanges,"-30,000.00","-1,387.604"
04/02/2019,FID SEL BIOTECH,Change in Market Value,"6,150.87","0.000"
04/02/2019,FID CHINA REGION,Exchanges,"30,000.00","841.043"
