Date,Investment,Transaction,Amount,Shares
02/28/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,69.68,6.899
02/19/2014,FID SEL GOLD,CONTRIBUTION,353.5,15.86
02/19/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.658
02/19/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.59
02/05/2014,FID SEL GOLD,CONTRIBUTION,353.5,17.474
02/05/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.748
02/05/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.698
01/31/2014,FIMM MONEY MKT INST,Dividends and Interest,6.8,6.8
01/31/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,73.76,7.504
01/22/2014,FID SEL GOLD,CONTRIBUTION,353.5,17.854
01/22/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.592
01/22/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.59
01/15/2014,FID SM CAP DISCOVERY,CONTRIBUTION,"5,022.9",160.271
01/15/2014,FID SEL FINANCIAL,CONTRIBUTION,"6,697.2",80.982
01/15/2014,FID SEL BIOTECH,CONTRIBUTION,"5,022.9",24.791
01/08/2014,FID SEL TECHNOLOGY,Exchanges,"4,522.05",36.533
01/08/2014,FID SEL NATURAL RES,Exchanges,"-13,948.65",-385.855
01/08/2014,FID SEL NATURAL RES,Change in Market Value,"2,235.11",0
01/08/2014,FID SEL HEALTHCARE,Exchanges,"9,267.48",48.195
01/08/2014,FID SEL GOLD,Exchanges,"13,948.65",758.903
01/08/2014,FID SEL GOLD,CONTRIBUTION,353.5,19.232
01/08/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.574
01/08/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.608
01/08/2014,FID REAL ESTATE INVS,Exchanges,"-4,522.05",-140.262
01/08/2014,FID REAL ESTATE INVS,Change in Market Value,174.5,0
01/08/2014,FID NEW MARKETS INC,Exchanges,"-20,171.6","-1,297.209"
01/08/2014,FID NEW MARKETS INC,Dividends and Interest,22.01,1.415
01/08/2014,FID NEW MARKETS INC,Change in Market Value,-144.44,0
01/08/2014,FID FREEDOM K 2030,Exchanges,"20,171.6","1,277.492"
01/08/2014,FID EMEA,Exchanges,"-4,524.63",-504.419
01/08/2014,FID EMEA,Change in Market Value,147.32,0
01/08/2014,FID CHINA REGION,Exchanges,"-9,267.48",-274.348
01/08/2014,FID CHINA REGION,Change in Market Value,574.39,0
01/08/2014,FID CAPITAL &amp; INCOME,Exchanges,"4,524.63",457.495
