
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2013 - 12/31/2013,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
07/10/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.150"
07/10/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.022"
06/28/2013,FIMM MONEY MKT INST,Dividends and Interest,"10.35","10.350"
06/28/2013,FID NEW MARKETS INC,Dividends and Interest,"76.17","4.781"
06/28/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"60.77","6.424"
06/26/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.012"
06/26/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.262"
06/26/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.138"
06/12/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","4.982"
06/12/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.246"
06/12/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.008"
06/07/2013,FID SM CAP DISCOVERY,Dividends and Interest,"153.08","5.538"
06/07/2013,FID REAL ESTATE INVS,Dividends and Interest,"16.09","0.468"
06/07/2013,FID REAL ESTATE INC,Dividends and Interest,"24.28","2.051"
05/31/2013,FIMM MONEY MKT INST,Dividends and Interest,"6.05","6.050"
05/31/2013,FID NEW MARKETS INC,Dividends and Interest,"83.00","4.938"
05/31/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"63.50","6.493"
05/30/2013,FIMM MONEY MKT INST,Exchanges,"53,471.03","53,471.030"
05/30/2013,FID SEL CONS STAPLES,Exchanges,"-53,471.03","-594.585"
05/30/2013,FID SEL CONS STAPLES,Change in Market Value,"17,618.63","0.000"
05/29/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","4.842"
05/29/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.076"
05/29/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.486"
05/15/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","4.824"
05/15/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.034"
