
Plan name:,FIDELITY RET SAVINGS
Date Range,10/01/2020 - 12/31/2020,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
06/11/2020,FA GOLD Z,Exchanges,"20,000.00","728.067"
06/11/2020,FA ENERGY Z,Exchanges,"-59,405.78","-3,237.372"
06/11/2020,FA ENERGY Z,Change in Market Value,"-11,448.64","0.000"
06/04/2020,FID SEL BANKING,CONTRIBUTION,"0.05","0.003"
06/04/2020,FA CHINA REGION Z,CONTRIBUTION,"0.04","0.001"
06/03/2020,FID SEL BANKING,CONTRIBUTION,"503.17","28.189"
06/03/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","8.075"
05/29/2020,FIMM MMKT INST,Dividends and Interest,"117.97","117.970"
05/21/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
05/21/2020,FID DIVIDEND GR K,Exchanges,"20,000.00","822.707"
05/20/2020,FID SEL BANKING,CONTRIBUTION,"503.17","32.463"
05/20/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","8.338"
05/12/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
05/12/2020,FID SEL BIOTECH,Exchanges,"20,000.00","890.869"
05/06/2020,FID SEL BANKING,CONTRIBUTION,"503.17","33.478"
05/06/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","8.886"
05/01/2020,FIMM MMKT INST,Exchanges,"46,967.03","46,967.030"
05/01/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
05/01/2020,FID SEL BANKING,Exchanges,"20,000.00","1,263.424"
05/01/2020,FID JAPAN SMALL CO,Exchanges,"-46,967.03","-3,245.821"
05/01/2020,FID JAPAN SMALL CO,Change in Market Value,"-3,305.38","0.000"
04/30/2020,FIMM MMKT INST,Dividends and Interest,"190.12","190.120"
04/22/2020,FID SEL BANKING,CONTRIBUTION,"503.17","34.822"
04/22/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","8.905"
04/21/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
04/21/2020,FA ENERGY Z,Exchanges,"20,000.00","1,327.140"
04/08/2020,FID SEL MED TECH&amp;DV,Dividends and Interest,"1,519.33","28.618"
04/08/2020,FID SEL CONSTR/HOUSE,Dividends and Interest,"3,176.79","68.895"
04/08/2020,FID SEL BIOTECH,Dividends and Interest,"5,084.03","273.482"
04/08/2020,FID SEL BANKING,Dividends and Interest,"1,213.74","78.559"
04/08/2020,FID SEL BANKING,CONTRIBUTION,"503.17","32.568"
