Date,Investment,Type,Amount,Shares,,
08/24/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,17.21,,
08/24/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.54,,
08/24/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.65,,
08/24/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.85,,
08/24/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.50,,
08/10/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,18.70,,
08/10/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.55,,
08/10/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.73,,
08/10/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.99,,
08/10/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.66,,
07/29/2011,FID NEW MARKETS INC,Dividends and Interest,57.47,3.56,,
09/30/2011,FID INFLAT PROT BOND,Dividends and Interest,5.56,0.44,,
07/29/2011,FID HIGH INCOME,Dividends and Interest,31.01,3.41,,
07/29/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,53.59,5.60,,
07/27/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,16.35,,
07/27/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.34,,
07/27/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.20,,
07/27/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.81,,
07/27/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.29,,
07/13/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.75,,
07/13/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.30,,
07/13/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.20,,
07/13/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.76,,
07/13/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.21,,
06/30/2011,FID NEW MARKETS INC,Dividends and Interest,54.21,3.41,,
08/31/2011,FID INFLAT PROT BOND,Dividends and Interest,7.02,0.55,,
06/30/2011,FID HIGH INCOME,Dividends and Interest,31.32,3.46,,
06/30/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,52.84,5.50,,
06/29/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.67,,
06/29/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.31,,
06/29/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.24,,
06/29/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.78,,
06/29/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.18,,
06/15/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,16.07,,
06/15/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.37,,
06/15/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.32,,
06/15/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.79,,
06/15/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.26,,
06/10/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,59.08,6.17,,
06/01/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.18,,
06/01/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.28,,
06/01/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.20,,
06/01/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.74,,
06/01/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.20,,
05/31/2011,FID NEW MARKETS INC,Dividends and Interest,57.80,3.65,,
07/29/2011,FID INFLAT PROT BOND,Dividends and Interest,8.67,0.69,,
05/31/2011,FID HIGH INCOME,Dividends and Interest,31.84,3.47,,
05/31/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,54.28,5.51,,
05/18/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.22,,
05/18/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.26,,
05/18/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.22,,
05/18/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.73,,
05/18/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.23,,
