Date,Investment,Type,Amount,Shares,,
01/13/2010,FID DIVERSIFD INTL K,Exchanges,-22248.61,-773.33,,
01/13/2010,FID DIVERSIFD INTL K,Change in Market Value,1247.74,0.00,,
01/13/2010,FID CAPITAL &amp; INCOME,Exchanges,11127.57,1260.20,,
12/30/2009,FID VALUE K,Dividends and Interest,1.89,0.03,,
12/23/2009,FID VALUE K,CONTRIBUTION,628.60,10.90,,
12/23/2009,FID SEL WIRELESS,CONTRIBUTION,628.60,93.68,,
12/23/2009,FID SEL MEDICAL DEL,CONTRIBUTION,628.60,14.30,,
12/23/2009,FID SEL CONS STAPLES,CONTRIBUTION,628.60,10.30,,
12/23/2009,FID DIVERSIFD INTL K,CONTRIBUTION,628.60,22.60,,
12/11/2009,FID SEL CONS STAPLES,Dividends and Interest,326.28,5.33,,
12/09/2009,FID VALUE K,CONTRIBUTION,270.90,4.93,,
12/09/2009,FID SEL WIRELESS,CONTRIBUTION,270.90,41.30,,
12/09/2009,FID SEL MEDICAL DEL,CONTRIBUTION,270.90,6.58,,
12/09/2009,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.41,,
12/09/2009,FID DIVERSIFD INTL K,CONTRIBUTION,270.90,9.85,,
12/04/2009,FID VALUE K,Dividends and Interest,213.14,3.84,,
12/04/2009,FID SEL WIRELESS,Dividends and Interest,203.75,31.20,,
12/04/2009,FID DIVERSIFD INTL K,Dividends and Interest,297.34,10.55,,
11/10/2009,FID VALUE K,CONTRIBUTION,193.50,3.49,,
11/10/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,29.95,,
11/10/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,4.74,,
11/10/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.15,,
11/10/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,6.84,,
10/07/2009,FID VALUE K,CONTRIBUTION,193.50,3.52,,
10/07/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,29.95,,
10/07/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,5.10,,
10/07/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.23,,
10/07/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,7.04,,
09/09/2009,FID VALUE K,CONTRIBUTION,193.50,3.60,,
09/09/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,30.57,,
09/09/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,5.06,,
09/09/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.34,,
09/09/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,7.20,,
08/12/2009,FID VALUE K,CONTRIBUTION,193.50,3.75,,
08/12/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,31.77,,
08/12/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,5.33,,
08/12/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.47,,
08/12/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,7.58,,
07/08/2009,FID VALUE K,CONTRIBUTION,193.50,4.77,,
07/08/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,33.48,,
07/08/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,5.92,,
07/08/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.69,,
07/08/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,8.67,,
06/10/2009,FID VALUE K,CONTRIBUTION,193.50,4.23,,
06/10/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,31.57,,
06/10/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,6.09,,
06/10/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.69,,
06/10/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,8.08,,
05/06/2009,FID VALUE K,CONTRIBUTION,193.50,4.29,,
05/06/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,32.09,,
05/06/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,6.25,,
05/06/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.94,,
05/06/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,8.66,,
04/17/2009,FID SEL CONS STAPLES,Dividends and Interest,13.48,0.28,,
04/08/2009,FID VALUE K,CONTRIBUTION,193.50,5.35,,
04/08/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,37.00,,
04/08/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,7.15,,
04/08/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,4.12,,
04/08/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,9.80,,
03/11/2009,FID VALUE K,CONTRIBUTION,193.50,6.40,,
03/11/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,41.70,,
03/11/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,8.21,,
03/11/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,4.52,,
03/11/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,11.11,,
02/11/2009,FID VALUE K,CONTRIBUTION,193.50,5.37,,
02/11/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,43.48,,
02/11/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,6.17,,
02/11/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,4.13,,
02/11/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,9.93,,
01/15/2009,FID VALUE K,CONTRIBUTION,2613.49,70.24,,
01/15/2009,FID SEL WIRELESS,CONTRIBUTION,2613.49,614.94,,
01/15/2009,FID SEL MEDICAL DEL,CONTRIBUTION,2613.50,91.86,,
01/15/2009,FID SEL CONS STAPLES,CONTRIBUTION,2613.49,54.28,,
01/15/2009,FID DIVERSIFD INTL K,CONTRIBUTION,2613.50,132.00,,
01/07/2009,FID VALUE K,CONTRIBUTION,193.50,4.74,,
01/07/2009,FID SEL WIRELESS,CONTRIBUTION,193.50,42.53,,
01/07/2009,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,6.53,,
01/07/2009,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.81,,
01/07/2009,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,8.99,,
12/24/2008,FID VALUE K,CONTRIBUTION,416.00,11.09,,
12/24/2008,FID SEL WIRELESS,CONTRIBUTION,416.00,102.72,,
12/24/2008,FID SEL MEDICAL DEL,CONTRIBUTION,416.00,14.73,,
12/24/2008,FID SEL CONS STAPLES,CONTRIBUTION,416.00,8.40,,
12/24/2008,FID DIVERSIFD INTL K,CONTRIBUTION,416.00,20.38,,
12/12/2008,FID SEL CONS STAPLES,Dividends and Interest,185.38,3.83,,
12/10/2008,FID VALUE K,CONTRIBUTION,193.50,5.01,,
12/10/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,44.69,,
12/10/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,7.31,,
12/10/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.92,,
12/10/2008,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,9.61,,
12/05/2008,FID SEL WIRELESS,Dividends and Interest,133.00,32.68,,
12/05/2008,FID DIVERSIFD INTL K,Dividends and Interest,166.79,8.78,,
12/03/2008,FID VALUE K,Dividends and Interest,56.55,1.54,,
11/12/2008,FID VALUE K,CONTRIBUTION,193.50,5.30,,
11/12/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,50.39,,
11/12/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,7.34,,
11/12/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,4.05,,
11/12/2008,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,9.80,,
10/08/2008,FID VALUE K,CONTRIBUTION,193.50,4.09,,
10/08/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,40.15,,
10/08/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,6.36,,
10/08/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.65,,
10/08/2008,FID DIVERSIFD INTL K,CONTRIBUTION,193.50,8.12,,
09/12/2008,FID VALUE K,Exchanges,13957.57,213.26,,
09/12/2008,FID VALUE,Exchanges,-13957.57,-213.39,,
09/12/2008,FID VALUE,Change in Market Value,-2269.61,0.00,,
09/12/2008,FID DIVERSIFIED INTL,Exchanges,-13905.24,-448.27,,
09/12/2008,FID DIVERSIFIED INTL,Change in Market Value,-2191.84,0.00,,
09/12/2008,FID DIVERSIFD INTL K,Exchanges,13905.24,447.98,,
09/10/2008,FID VALUE,CONTRIBUTION,193.50,3.00,,
09/10/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,30.09,,
09/10/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,4.82,,
09/10/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.11,,
09/10/2008,FID DIVERSIFIED INTL,CONTRIBUTION,193.50,6.35,,
08/06/2008,FID VALUE,CONTRIBUTION,193.50,2.88,,
08/06/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,27.18,,
08/06/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,4.71,,
08/06/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.08,,
08/06/2008,FID DIVERSIFIED INTL,CONTRIBUTION,193.50,5.63,,
07/09/2008,FID VALUE,CONTRIBUTION,193.50,3.03,,
07/09/2008,FID SEL WIRELESS,CONTRIBUTION,193.50,28.08,,
07/09/2008,FID SEL MEDICAL DEL,CONTRIBUTION,193.50,5.21,,
07/09/2008,FID SEL CONS STAPLES,CONTRIBUTION,193.50,3.22,,
07/09/2008,FID DIVERSIFIED INTL,CONTRIBUTION,193.50,5.59,,
06/11/2008,FID VALUE,CONTRIBUTION,173.16,2.48,,
06/11/2008,FID SEL WIRELESS,CONTRIBUTION,173.16,23.82,,
06/11/2008,FID SEL MEDICAL DEL,CONTRIBUTION,173.16,4.27,,
06/11/2008,FID SEL CONS STAPLES,CONTRIBUTION,173.18,2.71,,
06/11/2008,FID DIVERSIFIED INTL,CONTRIBUTION,173.16,4.69,,
05/07/2008,FID VALUE,CONTRIBUTION,172.66,2.38,,
05/07/2008,FID SEL WIRELESS,CONTRIBUTION,172.66,23.02,,
05/07/2008,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,4.20,,
05/07/2008,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.69,,
05/07/2008,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.52,,
04/11/2008,FID SEL MEDICAL DEL,Dividends and Interest,112.75,2.90,,
04/11/2008,FID SEL CONS STAPLES,Dividends and Interest,8.66,0.13,,
04/09/2008,FID VALUE,CONTRIBUTION,172.66,2.47,,
04/09/2008,FID SEL WIRELESS,CONTRIBUTION,172.66,24.32,,
04/09/2008,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,4.33,,
04/09/2008,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.65,,
04/09/2008,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.63,,
03/12/2008,FID VALUE,CONTRIBUTION,172.66,2.57,,
03/12/2008,FID SEL WIRELESS,CONTRIBUTION,172.66,25.17,,
03/12/2008,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,4.32,,
03/12/2008,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.72,,
03/12/2008,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.79,,
02/06/2008,FID VALUE,CONTRIBUTION,172.66,2.50,,
02/06/2008,FID SEL WIRELESS,CONTRIBUTION,172.66,23.82,,
02/06/2008,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.63,,
02/06/2008,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.80,,
02/06/2008,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.95,,
01/17/2008,FID VALUE,CONTRIBUTION,2561.25,38.77,,
01/17/2008,FID SEL WIRELESS,CONTRIBUTION,2561.25,348.94,,
01/17/2008,FID SEL MEDICAL DEL,CONTRIBUTION,2561.25,49.90,,
01/17/2008,FID SEL CONS STAPLES,CONTRIBUTION,2561.24,40.84,,
01/17/2008,FID DIVERSIFIED INTL,CONTRIBUTION,2561.25,71.78,,
01/09/2008,FID VALUE,CONTRIBUTION,172.66,2.48,,
01/09/2008,FID SEL WIRELESS,CONTRIBUTION,172.66,21.80,,
01/09/2008,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.28,,
01/09/2008,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.60,,
01/09/2008,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.49,,
12/19/2007,FID VALUE,CONTRIBUTION,544.00,7.34,,
12/19/2007,FID SEL WIRELESS,CONTRIBUTION,544.00,65.70,,
12/19/2007,FID SEL MEDICAL DEL,CONTRIBUTION,544.00,10.54,,
12/19/2007,FID SEL CONS STAPLES,CONTRIBUTION,544.00,8.24,,
12/19/2007,FID DIVERSIFIED INTL,CONTRIBUTION,544.00,14.09,,
12/14/2007,FID SEL MEDICAL DEL,Dividends and Interest,606.11,11.73,,
12/14/2007,FID SEL CONS STAPLES,Dividends and Interest,409.16,6.15,,
12/12/2007,FID VALUE,CONTRIBUTION,172.66,2.26,,
12/12/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,19.78,,
12/12/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.12,,
12/12/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.48,,
12/12/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.23,,
12/07/2007,FID VALUE,Dividends and Interest,983.66,12.64,,
12/07/2007,FID SEL WIRELESS,Dividends and Interest,411.24,46.31,,
12/07/2007,FID DIVERSIFIED INTL,Dividends and Interest,884.19,21.67,,
11/07/2007,FID VALUE,CONTRIBUTION,172.66,2.03,,
11/07/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,17.91,,
11/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.28,,
11/07/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.57,,
11/07/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,3.91,,
10/10/2007,FID VALUE,CONTRIBUTION,172.66,1.90,,
10/10/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,17.34,,
10/10/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.25,,
10/10/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.59,,
10/10/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,3.92,,
09/12/2007,FID VALUE,CONTRIBUTION,172.66,2.02,,
09/12/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,19.47,,
09/12/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.42,,
09/12/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.71,,
09/12/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.29,,
08/08/2007,FID VALUE,CONTRIBUTION,172.66,1.98,,
08/08/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,19.67,,
08/08/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.40,,
08/08/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.73,,
08/08/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.20,,
07/11/2007,FID VALUE,CONTRIBUTION,172.66,1.91,,
07/11/2007,FID SEL WIRELESS,CONTRIBUTION,172.66,19.55,,
07/11/2007,FID SEL MEDICAL DEL,CONTRIBUTION,172.68,3.30,,
07/11/2007,FID SEL CONS STAPLES,CONTRIBUTION,172.66,2.78,,
07/11/2007,FID DIVERSIFIED INTL,CONTRIBUTION,172.68,4.12,,
06/06/2007,FID VALUE,CONTRIBUTION,163.54,1.81,,
06/06/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,19.90,,
06/06/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.05,,
06/06/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.65,,
06/06/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.01,,
05/09/2007,FID VALUE,CONTRIBUTION,163.54,1.81,,
05/09/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,20.89,,
05/09/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.11,,
05/09/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.66,,
05/09/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.03,,
04/13/2007,FID SEL MEDICAL DEL,Dividends and Interest,226.94,4.38,,
04/13/2007,FID SEL CONS STAPLES,Dividends and Interest,121.14,2.01,,
04/11/2007,FID VALUE,CONTRIBUTION,163.54,1.91,,
04/11/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,22.31,,
04/11/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.10,,
04/11/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.70,,
04/11/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.19,,
03/07/2007,FID VALUE,CONTRIBUTION,163.54,1.98,,
03/07/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,23.46,,
03/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.23,,
03/07/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.84,,
03/07/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.47,,
02/07/2007,FID VALUE,CONTRIBUTION,163.54,1.93,,
02/07/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,22.50,,
02/07/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.23,,
02/07/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.77,,
02/07/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.32,,
01/11/2007,FID VALUE,CONTRIBUTION,2360.75,29.08,,
01/11/2007,FID SEL WIRELESS,CONTRIBUTION,2360.75,332.50,,
01/11/2007,FID SEL MEDICAL DEL,CONTRIBUTION,2360.75,48.24,,
01/11/2007,FID SEL CONS STAPLES,CONTRIBUTION,2360.75,40.83,,
01/11/2007,FID DIVERSIFIED INTL,CONTRIBUTION,2360.75,64.95,,
01/10/2007,FID VALUE,CONTRIBUTION,163.54,2.03,,
01/10/2007,FID SEL WIRELESS,CONTRIBUTION,163.54,23.26,,
01/10/2007,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.40,,
01/10/2007,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.85,,
01/10/2007,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.54,,
12/13/2006,FID VALUE,CONTRIBUTION,417.50,5.18,,
12/13/2006,FID SEL WIRELESS,CONTRIBUTION,417.50,59.90,,
12/13/2006,FID SEL MEDICAL DEL,CONTRIBUTION,417.50,8.82,,
12/13/2006,FID SEL CONS STAPLES,CONTRIBUTION,417.50,7.34,,
12/13/2006,FID DIVERSIFIED INTL,CONTRIBUTION,417.50,11.39,,
12/08/2006,FID SEL MEDICAL DEL,Dividends and Interest,346.69,7.29,,
12/08/2006,FID SEL CONS STAPLES,Dividends and Interest,295.99,5.22,,
12/08/2006,FID DIVERSIFIED INTL,Dividends and Interest,448.29,12.33,,
12/06/2006,FID VALUE,CONTRIBUTION,163.54,2.02,,
12/06/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,23.36,,
12/06/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.22,,
12/06/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.75,,
12/06/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.17,,
12/01/2006,FID VALUE,Dividends and Interest,435.72,5.47,,
11/08/2006,FID VALUE,CONTRIBUTION,163.54,1.92,,
11/08/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,24.01,,
11/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.30,,
11/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.81,,
11/08/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.30,,
10/11/2006,FID VALUE,CONTRIBUTION,163.54,1.99,,
10/11/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,24.30,,
10/11/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.23,,
10/11/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.87,,
10/11/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.50,,
09/06/2006,FID VALUE,CONTRIBUTION,163.54,2.05,,
09/06/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,25.88,,
09/06/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.25,,
09/06/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,2.89,,
09/06/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.52,,
08/09/2006,FID VALUE,CONTRIBUTION,163.54,2.14,,
08/09/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,26.72,,
08/09/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.34,,
08/09/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,3.01,,
08/09/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.61,,
07/12/2006,FID VALUE,CONTRIBUTION,163.54,2.12,,
07/12/2006,FID SEL WIRELESS,CONTRIBUTION,163.54,26.94,,
07/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,163.54,3.34,,
07/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,163.54,3.02,,
07/12/2006,FID DIVERSIFIED INTL,CONTRIBUTION,163.54,4.70,,
06/07/2006,FID VALUE,CONTRIBUTION,160.34,2.06,,
06/07/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,24.98,,
06/07/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.31,,
06/07/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.06,,
06/07/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.66,,
05/10/2006,FID VALUE,CONTRIBUTION,160.34,1.93,,
05/10/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,22.81,,
05/10/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.32,,
05/10/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,2.95,,
05/10/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.15,,
04/12/2006,FID VALUE,CONTRIBUTION,160.34,2.00,,
04/12/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,22.94,,
04/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.14,,
04/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.08,,
04/12/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.49,,
04/07/2006,FID SEL WIRELESS,Dividends and Interest,239.28,33.65,,
04/07/2006,FID SEL MEDICAL DEL,Dividends and Interest,102.16,1.94,,
04/07/2006,FID SEL CONS STAPLES,Dividends and Interest,42.06,0.80,,
03/08/2006,FID VALUE,CONTRIBUTION,160.34,2.03,,
03/08/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,22.12,,
03/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,2.92,,
03/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.07,,
03/08/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.75,,
02/08/2006,FID VALUE,CONTRIBUTION,160.34,2.04,,
02/08/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,22.21,,
02/08/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,2.99,,
02/08/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.11,,
02/08/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.71,,
01/12/2006,FID VALUE,CONTRIBUTION,1708.00,21.68,,
01/12/2006,FID SEL WIRELESS,CONTRIBUTION,1708.00,239.89,,
01/12/2006,FID SEL MEDICAL DEL,CONTRIBUTION,1708.00,30.90,,
01/12/2006,FID SEL CONS STAPLES,CONTRIBUTION,1708.00,33.22,,
01/12/2006,FID DIVERSIFIED INTL,CONTRIBUTION,1708.00,50.15,,
01/11/2006,FID VALUE,CONTRIBUTION,160.34,2.02,,
01/11/2006,FID SEL WIRELESS,CONTRIBUTION,160.34,22.30,,
01/11/2006,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,2.91,,
01/11/2006,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.11,,
01/11/2006,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.69,,
12/14/2005,FID VALUE,CONTRIBUTION,271.00,3.54,,
12/14/2005,FID SEL WIRELESS,CONTRIBUTION,271.00,38.94,,
12/14/2005,FID SEL MEDICAL DEL,CONTRIBUTION,271.00,4.91,,
12/14/2005,FID SEL CONS STAPLES,CONTRIBUTION,271.00,5.27,,
12/14/2005,FID DIVERSIFIED INTL,CONTRIBUTION,271.00,8.40,,
12/09/2005,FID SEL MEDICAL DEL,Dividends and Interest,25.13,0.46,,
12/09/2005,FID SEL CONS STAPLES,Dividends and Interest,67.38,1.33,,
12/09/2005,FID DIVERSIFIED INTL,Dividends and Interest,42.48,1.34,,
12/07/2005,FID VALUE,CONTRIBUTION,160.34,2.13,,
12/07/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,23.20,,
12/07/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,2.90,,
12/07/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.01,,
12/07/2005,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,4.91,,
12/02/2005,FID VALUE,Dividends and Interest,82.31,1.09,,
11/09/2005,FID VALUE,CONTRIBUTION,160.34,2.08,,
11/09/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,23.86,,
11/09/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.07,,
11/09/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.07,,
11/09/2005,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,5.14,,
10/12/2005,FID VALUE,CONTRIBUTION,160.34,2.16,,
10/12/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,25.17,,
10/12/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.12,,
10/12/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.14,,
10/12/2005,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,5.16,,
09/07/2005,FID VALUE,CONTRIBUTION,160.34,2.04,,
09/07/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,23.79,,
09/07/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.03,,
09/07/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.03,,
09/07/2005,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,5.07,,
08/10/2005,FID VALUE,CONTRIBUTION,160.34,2.06,,
08/10/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,24.29,,
08/10/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.12,,
08/10/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.05,,
08/10/2005,FID DIVERSIFIED INTL,CONTRIBUTION,160.32,5.20,,
07/06/2005,FID VALUE,CONTRIBUTION,160.34,2.14,,
07/06/2005,FID SEL WIRELESS,CONTRIBUTION,160.34,25.78,,
07/06/2005,FID SEL MEDICAL DEL,CONTRIBUTION,160.32,3.17,,
07/06/2005,FID SEL CONS STAPLES,CONTRIBUTION,160.34,3.21,,
