
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2015 - 12/31/2015,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/31/2015,FIMM MONEY MKT INST,Dividends and Interest,"21.07","21.070"
12/29/2015,FID FREEDOM K 2030,Dividends and Interest,"709.92","48.926"
12/23/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.566"
12/23/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","16.070"
12/18/2015,FID SEL HEALTHCARE,Dividends and Interest,"1,739.84","8.555"
12/18/2015,FID SEL HEALTH CARE,Dividends and Interest,"1,239.05","14.986"
12/18/2015,FID SEL FINANCIAL,Dividends and Interest,"635.64","7.708"
12/18/2015,FID SEL ENERGY,Dividends and Interest,"334.02","9.724"
12/18/2015,FID SEL CONSTR/HOUSE,Dividends and Interest,"444.69","7.819"
12/16/2015,FID SEL GOLD,CONTRIBUTION,"939.12","68.448"
12/16/2015,FID SEL ENERGY,CONTRIBUTION,"3,756.48","103.370"
12/09/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.560"
12/09/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","15.634"
12/04/2015,FID VALUE K,Dividends and Interest,"4,355.37","43.825"
12/04/2015,FID SEL TECHNOLOGY,Dividends and Interest,"561.36","4.613"
12/04/2015,FID SEL BIOTECH,Dividends and Interest,"3,007.81","12.902"
12/04/2015,FID JAPAN SMALL CO,Dividends and Interest,"234.68","17.005"
11/30/2015,FIMM MONEY MKT INST,Dividends and Interest,"13.03","13.030"
11/25/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.908"
11/25/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.374"
11/10/2015,FID SEL GOLD,CONTRIBUTION,"145.40","11.040"
11/10/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.184"
10/30/2015,FIMM MONEY MKT INST,Dividends and Interest,"15.12","15.120"
10/28/2015,FID SEL GOLD,CONTRIBUTION,"145.40","9.572"
10/28/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.532"
10/14/2015,FID SEL GOLD,CONTRIBUTION,"145.40","8.992"
10/14/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.368"
10/07/2015,FIMM MONEY MKT INST,Exchanges,"-15,000.00","-15,000.000"
10/07/2015,FID SEL BIOTECH,Exchanges,"15,000.00","67.513"
09/30/2015,FIMM MONEY MKT INST,Dividends and Interest,"17.15","17.150"
09/30/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.802"
09/30/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","16.138"
09/16/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.676"
09/16/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.954"
09/02/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.794"
09/02/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","15.204"
08/31/2015,FIMM MONEY MKT INST,Dividends and Interest,"17.47","17.470"
08/21/2015,FIMM MONEY MKT INST,Exchanges,"-10,000.00","-10,000.000"
08/21/2015,FID SEL ENERGY,Exchanges,"10,000.00","266.525"
08/19/2015,FID SEL GOLD,CONTRIBUTION,"145.40","9.898"
08/19/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.676"
08/11/2015,FIMM MONEY MKT INST,Exchanges,"-10,000.00","-10,000.000"
08/11/2015,FID SEL GOLD,Exchanges,"10,000.00","709.219"
08/05/2015,FID SEL GOLD,CONTRIBUTION,"145.40","11.350"
08/05/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.832"
07/31/2015,FIMM MONEY MKT INST,Dividends and Interest,"17.30","17.300"
07/22/2015,FID SEL GOLD,CONTRIBUTION,"145.40","10.940"
07/22/2015,FID SEL ENERGY,CONTRIBUTION,"581.58","14.254"
07/08/2015,FID SEL GOLD,CONTRIBUTION,"142.82","9.166"
07/08/2015,FID SEL ENERGY,CONTRIBUTION,"571.24","13.492"
06/30/2015,FIMM MONEY MKT INST,Dividends and Interest,"16.08","16.080"
06/24/2015,FID SEL GOLD,CONTRIBUTION,"142.82","8.598"
06/24/2015,FID SEL ENERGY,CONTRIBUTION,"571.24","12.564"
06/10/2015,FID SEL GOLD,CONTRIBUTION,"142.82","8.416"
06/10/2015,FID SEL ENERGY,CONTRIBUTION,"571.24","12.300"
05/29/2015,FIMM MONEY MKT INST,Dividends and Interest,"15.23","15.230"
05/27/2015,FID SEL GOLD,CONTRIBUTION,"142.82","8.304"
05/27/2015,FID SEL ENERGY,CONTRIBUTION,"571.24","12.330"
05/15/2015,FID FREEDOM K 2030,Dividends and Interest,"504.74","32.006"
