Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,99.320000,99.320000,99.320000,99.320000,92.897964,0
2018-08-07,99.180000,99.180000,99.180000,99.180000,92.767014,0
2018-08-08,99.820000,99.820000,99.820000,99.820000,93.365631,0
2018-08-09,100.250000,100.250000,100.250000,100.250000,93.767822,0
2018-08-10,100.230003,100.230003,100.230003,100.230003,93.749123,0
2018-08-13,100.620003,100.620003,100.620003,100.620003,94.113907,0
2018-08-14,101.940002,101.940002,101.940002,101.940002,95.348557,0
2018-08-15,101.480003,101.480003,101.480003,101.480003,94.918297,0
2018-08-16,102.440002,102.440002,102.440002,102.440002,95.816223,0
2018-08-17,102.570000,102.570000,102.570000,102.570000,95.937813,0
2018-08-20,102.800003,102.800003,102.800003,102.800003,96.152946,0
2018-08-21,102.870003,102.870003,102.870003,102.870003,96.218422,0
2018-08-22,102.860001,102.860001,102.860001,102.860001,96.209061,0
2018-08-23,103.059998,103.059998,103.059998,103.059998,96.396133,0
2018-08-24,103.669998,103.669998,103.669998,103.669998,96.966690,0
2018-08-27,104.129997,104.129997,104.129997,104.129997,97.396942,0
2018-08-28,104.400002,104.400002,104.400002,104.400002,97.649490,0
2018-08-29,104.730003,104.730003,104.730003,104.730003,97.958153,0
2018-08-30,104.290001,104.290001,104.290001,104.290001,97.546600,0
2018-08-31,104.820000,104.820000,104.820000,104.820000,98.042328,0
2018-09-04,104.180000,104.180000,104.180000,104.180000,97.443718,0
2018-09-05,104.180000,104.180000,104.180000,104.180000,97.443718,0
2018-09-06,104.839996,104.839996,104.839996,104.839996,98.061035,0
2018-09-07,105.129997,105.129997,105.129997,105.129997,98.332291,0
2018-09-10,103.300003,103.300003,103.300003,103.300003,96.620613,0
2018-09-11,103.459999,103.459999,103.459999,103.459999,96.770271,0
2018-09-12,103.930000,103.930000,103.930000,103.930000,97.209885,0
2018-09-13,105.010002,105.010002,105.010002,105.010002,98.220047,0
2018-09-14,105.070000,105.070000,105.070000,105.070000,98.276161,0
2018-09-17,104.949997,104.949997,104.949997,104.949997,98.163925,0
2018-09-18,105.470001,105.470001,105.470001,105.470001,98.650299,0
2018-09-19,105.480003,105.480003,105.480003,105.480003,98.659660,0
2018-09-20,106.080002,106.080002,106.080002,106.080002,99.220856,0
2018-09-21,106.290001,106.290001,106.290001,106.290001,99.417274,0
2018-09-24,106.349998,106.349998,106.349998,106.349998,99.473404,0
2018-09-25,105.570000,105.570000,105.570000,105.570000,98.743835,0
2018-09-26,105.680000,105.680000,105.680000,105.680000,98.846718,0
2018-09-27,106.629997,106.629997,106.629997,106.629997,99.735291,0
2018-09-28,107.349998,107.349998,107.349998,107.349998,100.408737,0
2018-10-01,107.889999,107.889999,107.889999,107.889999,100.913818,0
2018-10-02,107.230003,107.230003,107.230003,107.230003,100.296509,0
2018-10-03,107.320000,107.320000,107.320000,107.320000,100.380676,0
2018-10-04,106.589996,106.589996,106.589996,106.589996,99.697876,0
2018-10-05,106.760002,106.760002,106.760002,106.760002,99.856895,0
2018-10-08,106.970001,106.970001,106.970001,106.970001,100.053314,0
2018-10-09,107.419998,107.419998,107.419998,107.419998,100.474213,0
2018-10-10,105.279999,105.279999,105.279999,105.279999,98.472580,0
2018-10-11,102.309998,102.309998,102.309998,102.309998,95.694618,0
2018-10-12,103.070000,103.070000,103.070000,103.070000,96.405479,0
2018-10-15,102.610001,102.610001,102.610001,102.610001,95.975227,0
2018-10-16,105.889999,105.889999,105.889999,105.889999,99.043144,0
2018-10-17,105.379997,105.379997,105.379997,105.379997,98.566124,0
2018-10-18,105.559998,105.559998,105.559998,105.559998,98.734482,0
2018-10-19,104.330002,104.330002,104.330002,104.330002,97.584015,0
2018-10-22,103.419998,103.419998,103.419998,103.419998,96.732857,0
2018-10-23,103.370003,103.370003,103.370003,103.370003,96.686089,0
2018-10-24,99.889999,99.889999,99.889999,99.889999,93.431099,0
2018-10-25,101.940002,101.940002,101.940002,101.940002,95.348557,0
2018-10-26,100.059998,100.059998,100.059998,100.059998,93.590111,0
2018-10-29,99.949997,99.949997,99.949997,99.949997,93.487228,0
2018-10-30,101.629997,101.629997,101.629997,101.629997,95.058594,0
2018-10-31,102.279999,102.279999,102.279999,102.279999,95.666565,0
2018-11-01,102.989998,102.989998,102.989998,102.989998,96.330658,0
2018-11-02,102.320000,102.320000,102.320000,102.320000,95.703979,0
2018-11-05,102.809998,102.809998,102.809998,102.809998,96.162300,0
2018-11-06,103.709999,103.709999,103.709999,103.709999,97.004105,0
2018-11-07,107.820000,107.820000,107.820000,107.820000,100.848351,0
