Date,Adj Close
2005-04-01,25.269728
2005-04-04,25.185146
2005-04-05,25.319482999999998
2005-04-06,25.234898
2005-04-07,25.40904
2005-04-08,25.299004
2005-04-11,25.304003
2005-04-12,25.394035000000002
2005-04-13,25.309008
2005-04-14,25.243982
2005-04-15,24.933872
2005-04-18,24.838839
2005-04-19,25.008894
2005-04-20,24.698793
2005-04-21,24.993895000000002
2005-04-22,24.893856
2005-04-25,25.143948
2005-04-26,24.928869
2005-04-27,24.898857
2005-04-28,24.7488
2005-04-29,24.67878
2005-05-02,24.85885
2005-05-03,24.923866
2005-05-04,25.128941
2005-05-05,25.098928
2005-05-06,25.043910999999998
2005-05-09,25.183957999999997
2005-05-10,25.108932
2005-05-11,25.183957999999997
2005-05-12,25.058908
2005-05-13,24.908863
2005-05-16,25.098928
2005-05-17,25.178955
2005-05-18,25.509073
2005-05-19,25.554092
2005-05-20,25.579102
2005-05-23,25.669132
2005-05-24,25.644125
2005-05-25,25.5741
2005-05-26,25.70915
2005-05-27,25.699141
2005-05-31,25.489065
2005-06-01,25.639122
2005-06-02,25.739157000000002
2005-06-03,25.559093
2005-06-06,25.529085000000002
2005-06-07,25.619114
2005-06-08,25.524082
2005-06-09,25.624117000000002
2005-06-10,25.629116
2005-06-13,25.589106
2005-06-14,25.649124
2005-06-15,25.649124
2005-06-16,25.679142000000002
2005-06-17,25.799179000000002
2005-06-20,25.72415
2005-06-21,25.799179000000002
2005-06-22,25.874205
2005-06-23,25.604105
2005-06-24,25.35902
2005-06-27,25.304003
2005-06-28,25.49407
2005-06-29,25.319010000000002
2005-06-30,25.173964
2005-07-01,25.183957999999997
2005-07-05,25.203966
2005-07-06,25.013893
2005-07-07,24.963882
2005-07-08,25.278994
2005-07-11,25.454056
2005-07-12,25.539087
2005-07-13,25.669132
2005-07-14,25.764167999999998
2005-07-15,25.909214000000002
2005-07-18,25.834196
2005-07-19,25.964239000000003
2005-07-20,26.004255
2005-07-21,25.93923
2005-07-22,26.004255
2005-07-25,25.874205
2005-07-26,25.899214
2005-07-27,25.929228
2005-07-28,26.239332
2005-07-29,26.239332
2005-08-01,26.219332
2005-08-02,26.339373
2005-08-03,26.384392
2005-08-04,26.229332
2005-08-05,26.099289000000002
2005-08-08,26.119291
2005-08-09,26.209332
2005-08-10,26.304359
2005-08-11,26.554451
2005-08-12,26.239332
2005-08-15,26.304359
2005-08-16,26.069273000000003
2005-08-17,26.094282
2005-08-18,26.089285
2005-08-19,26.139297
2005-08-22,26.234333000000003
2005-08-23,26.1443
2005-08-24,25.93923
2005-08-25,25.974245
2005-08-26,25.874205
2005-08-29,25.989241
2005-08-30,25.769173000000002
2005-08-31,26.024261
2005-09-01,26.009251000000003
2005-09-02,26.049263
2005-09-06,26.339373
2005-09-07,26.474426
2005-09-08,26.289348999999998
2005-09-09,26.399382
2005-09-12,26.359371000000003
2005-09-13,26.1443
2005-09-14,26.01425
2005-09-15,26.119291
2005-09-16,26.289348999999998
2005-09-19,26.109289
2005-09-20,25.859201000000002
2005-09-21,25.459063
2005-09-22,25.554092
2005-09-23,25.649124
2005-09-26,25.754156
2005-09-27,25.894217
2005-09-28,25.929228
2005-09-29,26.074274
2005-09-30,26.199324
2005-10-03,26.219332
2005-10-04,26.139297
2005-10-05,25.974245
2005-10-06,25.954233
2005-10-07,25.879208
2005-10-10,25.70915
2005-10-11,25.669132
