
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2012 - 12/31/2012,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
09/05/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"146.80","3.344"
09/05/2012,FID REAL ESTATE INVS,CONTRIBUTION,"146.82","4.520"
09/05/2012,FID EMEA,CONTRIBUTION,"146.82","17.032"
08/31/2012,FID NEW MARKETS INC,Dividends and Interest,"77.70","4.463"
08/31/2012,FID INFLAT PROT BOND,Dividends and Interest,"3.17","0.236"
08/31/2012,FID HIGH INCOME,Dividends and Interest,"51.72","5.622"
08/31/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"62.88","6.776"
08/22/2012,FID SEL FINANCIAL,CONTRIBUTION,"266.38","4.580"
08/22/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"133.20","3.042"
08/22/2012,FID REAL ESTATE INVS,CONTRIBUTION,"133.18","4.160"
08/22/2012,FID EMEA,CONTRIBUTION,"133.18","15.152"
08/08/2012,FID SEL FINANCIAL,CONTRIBUTION,"266.38","4.628"
08/08/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"133.20","3.154"
08/08/2012,FID REAL ESTATE INVS,CONTRIBUTION,"133.18","4.194"
08/08/2012,FID EMEA,CONTRIBUTION,"133.18","15.116"
07/31/2012,FID NEW MARKETS INC,Dividends and Interest,"75.99","4.398"
07/31/2012,FID INFLAT PROT BOND,Dividends and Interest,"4.26","0.316"
07/31/2012,FID HIGH INCOME,Dividends and Interest,"55.01","6.039"
07/31/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"62.92","6.854"
07/25/2012,FID SEL FINANCIAL,CONTRIBUTION,"266.38","4.800"
07/25/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"133.20","3.268"
07/25/2012,FID REAL ESTATE INVS,CONTRIBUTION,"133.18","4.238"
07/25/2012,FID EMEA,CONTRIBUTION,"133.18","16.144"
07/11/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.658"
07/11/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.156"
07/11/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.102"
07/11/2012,FID EMEA,CONTRIBUTION,"129.96","15.564"
06/29/2012,FID NEW MARKETS INC,Dividends and Interest,"72.03","4.323"
06/29/2012,FID INFLAT PROT BOND,Dividends and Interest,"4.30","0.325"
06/29/2012,FID HIGH INCOME,Dividends and Interest,"53.25","5.930"
06/29/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"60.44","6.671"
06/27/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.760"
06/27/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.220"
06/27/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.268"
06/27/2012,FID EMEA,CONTRIBUTION,"129.96","15.926"
06/13/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.822"
06/13/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.322"
06/13/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.342"
06/13/2012,FID EMEA,CONTRIBUTION,"129.96","15.946"
06/08/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"7.36","0.823"
06/01/2012,FID REAL ESTATE INVS,Dividends and Interest,"4.77","0.163"
05/31/2012,FID NEW MARKETS INC,Dividends and Interest,"77.11","4.763"
05/31/2012,FID INFLAT PROT BOND,Dividends and Interest,"5.46","0.410"
05/31/2012,FID HIGH INCOME,Dividends and Interest,"54.26","6.138"
05/31/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"65.88","7.353"
05/30/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.824"
05/30/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.272"
05/30/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.346"
05/30/2012,FID EMEA,CONTRIBUTION,"129.96","16.598"
05/16/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.732"
05/16/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.176"
05/16/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.240"
05/16/2012,FID EMEA,CONTRIBUTION,"129.96","16.064"
05/11/2012,FID INFLAT PROT BOND,Dividends and Interest,"25.73","1.961"
05/02/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.472"
05/02/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","2.968"
05/02/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.066"
05/02/2012,FID EMEA,CONTRIBUTION,"129.96","14.702"
04/30/2012,FID NEW MARKETS INC,Dividends and Interest,"74.73","4.467"
04/30/2012,FID INFLAT PROT BOND,Dividends and Interest,"5.43","0.414"
04/30/2012,FID HIGH INCOME,Dividends and Interest,"52.84","5.839"
04/30/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"63.19","6.846"
04/18/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.500"
04/18/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.092"
04/18/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.258"
04/18/2012,FID EMEA,CONTRIBUTION,"129.96","14.852"
04/13/2012,FID SEL CONS STAPLES,Dividends and Interest,"214.80","2.847"
04/04/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.390"
04/04/2012,FID SEL ENERGY,Dividends and Interest,"12.91","0.249"
04/04/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.100"
04/04/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.256"
04/04/2012,FID EMEA,CONTRIBUTION,"129.96","14.802"
03/30/2012,FID NEW MARKETS INC,Dividends and Interest,"77.37","4.683"
03/30/2012,FID INFLAT PROT BOND,Dividends and Interest,"5.82","0.452"
03/30/2012,FID HIGH INCOME,Dividends and Interest,"52.87","5.874"
03/30/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"66.34","7.203"
03/21/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.290"
03/21/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.074"
03/21/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.268"
03/21/2012,FID EMEA,CONTRIBUTION,"129.96","14.520"
03/07/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.566"
03/07/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.252"
03/07/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.422"
03/07/2012,FID EMEA,CONTRIBUTION,"129.96","14.472"
03/02/2012,FID REAL ESTATE INVS,Dividends and Interest,"1.07","0.036"
02/29/2012,FID NEW MARKETS INC,Dividends and Interest,"71.37","4.297"
02/29/2012,FID INFLAT PROT BOND,Dividends and Interest,"5.43","0.417"
02/29/2012,FID HIGH INCOME,Dividends and Interest,"49.94","5.524"
02/29/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"60.49","6.561"
02/22/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.548"
02/22/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.310"
02/22/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.466"
02/22/2012,FID EMEA,CONTRIBUTION,"129.96","14.802"
02/10/2012,FID NEW MARKETS INC,Dividends and Interest,"51.35","3.166"
02/08/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.480"
