Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,18.010000,18.010000,18.010000,18.010000,16.609684,0
2018-08-07,18.059999,18.059999,18.059999,18.059999,16.655796,0
2018-08-08,18.059999,18.059999,18.059999,18.059999,16.655796,0
2018-08-09,18.070000,18.070000,18.070000,18.070000,16.665016,0
2018-08-10,17.950001,17.950001,17.950001,17.950001,16.554348,0
2018-08-13,17.860001,17.860001,17.860001,17.860001,16.471346,0
2018-08-14,17.910000,17.910000,17.910000,17.910000,16.517458,0
2018-08-15,17.740000,17.740000,17.740000,17.740000,16.360676,0
2018-08-16,17.830000,17.830000,17.830000,17.830000,16.443678,0
2018-08-17,17.879999,17.879999,17.879999,17.879999,16.489790,0
2018-08-20,17.959999,17.959999,17.959999,17.959999,16.563570,0
2018-08-21,18.010000,18.010000,18.010000,18.010000,16.609684,0
2018-08-22,18.059999,18.059999,18.059999,18.059999,16.655796,0
2018-08-23,18.010000,18.010000,18.010000,18.010000,16.609684,0
2018-08-24,18.100000,18.100000,18.100000,18.100000,16.692686,0
2018-08-27,18.219999,18.219999,18.219999,18.219999,16.803354,0
2018-08-28,18.209999,18.209999,18.209999,18.209999,16.794132,0
2018-08-29,18.260000,18.260000,18.260000,18.260000,16.840246,0
2018-08-30,18.180000,18.180000,18.180000,18.180000,16.766464,0
2018-08-31,18.170000,18.170000,18.170000,18.170000,16.757242,0
2018-09-04,18.080000,18.080000,18.080000,18.080000,16.674240,0
2018-09-05,17.990000,17.990000,17.990000,17.990000,16.591238,0
2018-09-06,17.930000,17.930000,17.930000,17.930000,16.535902,0
2018-09-07,17.889999,17.889999,17.889999,17.889999,16.499012,0
2018-09-10,17.910000,17.910000,17.910000,17.910000,16.517458,0
2018-09-11,17.920000,17.920000,17.920000,17.920000,16.526680,0
2018-09-12,17.950001,17.950001,17.950001,17.950001,16.554348,0
2018-09-13,18.020000,18.020000,18.020000,18.020000,16.618904,0
2018-09-14,18.040001,18.040001,18.040001,18.040001,16.637352,0
2018-09-17,17.969999,17.969999,17.969999,17.969999,16.572792,0
2018-09-18,18.030001,18.030001,18.030001,18.030001,16.628128,0
2018-09-19,18.070000,18.070000,18.070000,18.070000,16.665016,0
2018-09-20,18.200001,18.200001,18.200001,18.200001,16.784910,0
2018-09-21,18.209999,18.209999,18.209999,18.209999,16.794132,0
2018-09-24,18.150000,18.150000,18.150000,18.150000,16.738798,0
2018-09-25,18.180000,18.180000,18.180000,18.180000,16.766464,0
2018-09-26,18.170000,18.170000,18.170000,18.170000,16.757242,0
2018-09-27,18.180000,18.180000,18.180000,18.180000,16.766464,0
2018-09-28,18.150000,18.150000,18.150000,18.150000,16.738798,0
2018-10-01,18.160000,18.160000,18.160000,18.160000,16.748020,0
2018-10-02,18.110001,18.110001,18.110001,18.110001,16.701908,0
2018-10-03,18.090000,18.090000,18.090000,18.090000,16.683462,0
2018-10-04,17.930000,17.930000,17.930000,17.930000,16.535902,0
2018-10-05,17.830000,17.830000,17.830000,17.830000,16.443678,0
2018-10-08,17.780001,17.780001,17.780001,17.780001,16.397566,0
2018-10-09,17.770000,17.770000,17.770000,17.770000,16.388344,0
2018-10-10,17.400000,17.400000,17.400000,17.400000,16.047112,0
2018-10-11,17.219999,17.219999,17.219999,17.219999,15.881105,0
2018-10-12,17.360001,17.360001,17.360001,17.360001,16.010223,0
2018-10-15,17.309999,17.309999,17.309999,17.309999,15.964109,0
2018-10-16,17.559999,17.559999,17.559999,17.559999,16.194672,0
2018-10-17,17.510000,17.510000,17.510000,17.510000,16.148560,0
2018-10-18,17.299999,17.299999,17.299999,17.299999,15.954886,0
2018-10-19,17.290001,17.290001,17.290001,17.290001,15.945665,0
2018-10-22,17.250000,17.250000,17.250000,17.250000,15.908774,0
2018-10-23,17.139999,17.139999,17.139999,17.139999,15.807326,0
2018-10-24,16.790001,16.790001,16.790001,16.790001,15.484541,0
2018-10-25,16.980000,16.980000,16.980000,16.980000,15.659766,0
2018-10-26,16.840000,16.840000,16.840000,16.840000,15.530653,0
2018-10-29,16.750000,16.750000,16.750000,16.750000,15.447651,0
2018-10-30,16.900000,16.900000,16.900000,16.900000,15.585987,0
2018-10-31,17.040001,17.040001,17.040001,17.040001,15.715103,0
2018-11-01,17.219999,17.219999,17.219999,17.219999,15.881105,0
2018-11-02,17.180000,17.180000,17.180000,17.180000,15.844216,0
2018-11-05,17.209999,17.209999,17.209999,17.209999,15.871884,0
2018-11-06,17.260000,17.260000,17.260000,17.260000,15.917997,0
2018-11-07,17.469999,17.469999,17.469999,17.469999,16.111668,0
2018-11-08,17.379999,17.379999,17.379999,17.379999,16.028666,0
2018-11-09,17.260000,17.260000,17.260000,17.260000,15.917997,0
2018-11-12,17.030001,17.030001,17.030001,17.030001,15.705880,0
2018-11-13,17.049999,17.049999,17.049999,17.049999,15.724324,0
2018-11-14,17.020000,17.020000,17.020000,17.020000,15.696657,0
2018-11-15,17.110001,17.110001,17.110001,17.110001,15.779661,0
2018-11-16,17.120001,17.120001,17.120001,17.120001,15.788882,0
2018-11-19,16.959999,16.959999,16.959999,16.959999,15.641322,0
