Date,Investment,Type,Amount,Shares
04/16/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.696"
04/11/2014,FID SEL TECHNOLOGY,Dividends and Interest,"1,380.70","12.640"
04/11/2014,FID SEL MEDICAL DEL,Dividends and Interest,"1,744.17","24.687"
04/11/2014,FID SEL HEALTHCARE,Dividends and Interest,"502.04","2.765"
04/11/2014,FID SEL FINANCIAL,Dividends and Interest,"42.17","0.536"
04/11/2014,FID SEL CONSTR/HOUSE,Dividends and Interest,"600.32","11.585"
04/02/2014,FID SEL GOLD,CONTRIBUTION,"353.50","16.810"
04/02/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.548"
04/02/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.484"
03/31/2014,FIMM MONEY MKT INST,Dividends and Interest,"7.81","7.810"
03/31/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,"78.81","7.834"
03/19/2014,FID SEL GOLD,CONTRIBUTION,"353.50","16.002"
03/19/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.592"
03/19/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.500"
03/07/2014,FID REAL ESTATE INC,Dividends and Interest,"22.38","1.939"
03/05/2014,FID SEL GOLD,CONTRIBUTION,"353.50","15.376"
03/05/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.588"
03/05/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.442"
02/28/2014,FIMM MONEY MKT INST,Dividends and Interest,"6.38","6.380"
02/28/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,"69.68","6.899"
02/19/2014,FID SEL GOLD,CONTRIBUTION,"353.50","15.860"
02/19/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.658"
02/19/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.590"
02/05/2014,FID SEL GOLD,CONTRIBUTION,"353.50","17.474"
02/05/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.748"
02/05/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.698"
01/31/2014,FIMM MONEY MKT INST,Dividends and Interest,"6.80","6.800"
01/31/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,"73.76","7.504"
01/22/2014,FID SEL GOLD,CONTRIBUTION,"353.50","17.854"
01/22/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.592"
01/22/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.590"
01/15/2014,FID SM CAP DISCOVERY,CONTRIBUTION,"5,022.90","160.271"
01/15/2014,FID SEL FINANCIAL,CONTRIBUTION,"6,697.20","80.982"
01/15/2014,FID SEL BIOTECH,CONTRIBUTION,"5,022.90","24.791"
01/08/2014,FID SEL TECHNOLOGY,Exchanges,"4,522.05","36.533"
01/08/2014,FID SEL NATURAL RES,Exchanges,"-13,948.65","-385.855"
01/08/2014,FID SEL NATURAL RES,Change in Market Value,"2,235.11","0.000"
01/08/2014,FID SEL HEALTHCARE,Exchanges,"9,267.48","48.195"
