"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
01/20/2021 00:01:18,Buy,,1.00000000,LTC,97.72310086,150.75,Coinbase Pro - LTC,,,,150.75,USD,,,Coinbase Pro - USD,,,,0.75,USD,,
01/20/2021 00:01:18,Buy,,1.88679610,LTC,99.60989696,284.43,Coinbase Pro - LTC,,,,284.43,USD,,,Coinbase Pro - USD,,,,1.42,USD,,
01/20/2021 00:01:18,Buy,,0.39010304,LTC,100.00000000,58.81,Coinbase Pro - LTC,,,,58.81,USD,,,Coinbase Pro - USD,,,,0.29,USD,,
01/20/2021 03:38:18,Buy,,0.50000000,BTC,2.50000000,17688.00,Coinbase Pro - BTC,,,,17688.00,USD,,,Coinbase Pro - USD,,,,88.00,USD,,
02/07/2021 15:40:47,Receive,,10000.00,USD,,,Coinbase - USD Wallet,,,Deposited funds From Bank of America - BofA... ********6952,,,,,,,,,,,,
02/07/2021 15:40:49,Transfer,,10000.00,USD,,,Coinbase Pro - USD,,,,10000.00,USD,,,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,,
02/14/2021 08:01:18,Sell,,8612.72,USD,,,Coinbase Pro - USD,,,,37.44661558,LTC,62.55338442,5645.08,Coinbase Pro - LTC,,,,30.14,USD,2967.64,
02/14/2021 08:01:18,Sell,,345.00,USD,,,Coinbase Pro - USD,,,,1.50000000,LTC,61.05338442,226.12,Coinbase Pro - LTC,,,,1.21,USD,118.88,
02/14/2021 08:01:18,Sell,,345.00,USD,,,Coinbase Pro - USD,,,,1.50000000,LTC,59.55338442,226.12,Coinbase Pro - LTC,,,,1.21,USD,118.88,
02/14/2021 08:01:18,Sell,,7525.99,USD,,,Coinbase Pro - USD,,,,32.72167534,LTC,26.83170908,4932.79,Coinbase Pro - LTC,,,,26.34,USD,2593.19,
02/14/2021 08:01:18,Sell,,1265.00,USD,,,Coinbase Pro - USD,,,,5.50000000,LTC,21.33170908,829.12,Coinbase Pro - LTC,,,,4.43,USD,435.88,
02/14/2021 08:01:18,Sell,,2185.00,USD,,,Coinbase Pro - USD,,,,9.50000000,LTC,11.83170908,1432.12,Coinbase Pro - LTC,,,,7.65,USD,752.88,
02/14/2021 08:01:18,Sell,,2560.34,USD,,,Coinbase Pro - USD,,,,11.13193428,LTC,0.69977480,1678.14,Coinbase Pro - LTC,,,,8.96,USD,882.21,
02/14/2021 08:01:18,Sell,,160.95,USD,,,Coinbase Pro - USD,,,,0.69977480,LTC,0.00000000,105.49,Coinbase Pro - LTC,,,,0.56,USD,55.46,
02/16/2021 20:27:47,Trade,,13.76306400,ALGO,13.76306400,17.75,Coinbase - ALGO Wallet,,,Converted to Algorand Using GRT Wallet,8.77738714,GRT,0.00000000,2.94,Coinbase - GRT Wallet,,,Converted to Algorand Using GRT Wallet,,,14.81,
02/16/2021 21:10:48,Transfer,,20.00000000,ETH,20.00000000,,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,20.00000000,ETH,14.00000000,,Coinbase Pro - ETH,,,,,,,
02/17/2021 12:54:59,Receive,,0.00032400,ALGO,13.76338800,0.00,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,,,,,,,,,,
02/18/2021 12:02:33,Receive,,0.00219700,ALGO,13.76558500,0.00,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,,,,,,,,,,
02/19/2021 12:06:22,Receive,,0.00219800,ALGO,13.76778300,0.00,Coinbase - ALGO Wallet,,,Algorand reward From Coinbase,,,,,,,,,,,,
